filename,date_taken,time_taken,day_of_week,hour_of_day,shape_type,shape_rank,colour_rating,texture,mug_type,vibe_score,notes
456C73E8-18DD-4FF2-82E9-A98FA5B5404A.jpeg,11/10/2024,12:40:34,Friday,12,Abstract,,2,2,Etsy by the sea (big),1,
8FC111EB-4A3A-457D-BD0A-92795B478C24.jpeg,05/10/2024,10:24:05,Saturday,10,Abstract,,1,2,Etsy by the sea (big),1,
IMG_0005.jpeg,25/02/2025,11:24:59,Tuesday,11,Heart,2,2,2,Boring (medium),3,
IMG_0006.jpeg,25/02/2025,11:26:04,Tuesday,11,Leaf,2,2,3,Boring (medium),3,
IMG_0012.jpeg,26/02/2025,11:30:30,Wednesday,11,Leaf,2,2,3,Boring (medium),2,
IMG_0024.jpeg,28/02/2025,10:53:17,Friday,10,Leaf,3,3,3,Boring (medium),3,
IMG_0057.jpeg,03/03/2025,10:36:51,Monday,10,Heart,3,2,1,Boring (medium),1,
IMG_0058.jpeg,03/03/2025,10:37:07,Monday,10,Abstract,,1,1,Boring (medium),1,
IMG_0073.jpeg,05/03/2025,11:02:34,Wednesday,11,Leaf,3,1,2,Boring (medium),2,
IMG_0081.jpeg,06/03/2025,11:41:25,Thursday,11,Flower,2,4,2,Hk living it up (small),2,
IMG_0107.jpeg,10/03/2025,11:17:39,Monday,11,Abstract,,5,3,Etsy by the sea (big),4,
IMG_0147.jpeg,12/03/2025,12:36:05,Wednesday,12,Leaf,4,3,3,Etsy by the sea (big),5,
IMG_0158.jpeg,14/03/2025,12:17:18,Friday,12,Heart,1,2,2,Etsy by the sea (big),1,
IMG_0254.jpeg,23/03/2025,12:56:16,Sunday,12,Heart,2,3,3,Etsy by the sea (big),2,"La Marzocco, Dairy Milk"
IMG_0281.jpeg,25/03/2025,13:22:13,Tuesday,13,Leaf,4,4,3,Etsy by the sea (big),4,
IMG_0293.jpeg,26/03/2025,12:46:59,Wednesday,12,Abstract,,3,2,Etsy by the sea (big),1,
IMG_0308.jpeg,28/03/2025,11:11:09,Friday,11,Leaf,1,4,3,Etsy by the sea (big),3,
IMG_0351.jpeg,31/03/2025,14:10:54,Monday,14,Leaf,2,1,2,Etsy by the sea (big),1,
IMG_0357.jpeg,01/04/2025,10:51:08,Tuesday,10,Leaf,4,2,3,Boring (medium),3,
IMG_0367.jpeg,01/04/2025,15:46:05,Tuesday,15,Tulip,3,2,2,Boring (medium),2,
IMG_0374.jpeg,02/04/2025,12:35:25,Wednesday,12,Abstract,,1,4,Boring (medium),1,
IMG_0376.jpeg,02/04/2025,12:36:16,Wednesday,12,Tulip,1,1,3,Boring (medium),1,
IMG_0402.jpeg,05/04/2025,10:58:55,Saturday,10,Leaf,2,2,1,Boring (medium),1,
IMG_0418.jpeg,07/04/2025,11:50:42,Monday,11,Abstract,,1,2,Boring (medium),1,
IMG_0465.jpeg,09/04/2025,10:30:29,Wednesday,10,Leaf,3,4,4,Boring (medium),4,
IMG_0504.jpeg,14/04/2025,12:06:02,Monday,12,Abstract,,2,2,Boring (medium),1,
IMG_0509.jpeg,15/04/2025,15:36:46,Tuesday,15,Leaf,3,2,2,Etsy by the sea (big),2,
IMG_0510.jpeg,Unknown,Unknown,,,Leaf,2,2,3,Etsy by the sea (big),1,
IMG_0529.jpeg,17/04/2025,10:55:18,Thursday,10,Leaf,4,4,4,Boring (medium),5,
IMG_0538.jpeg,18/04/2025,09:46:56,Friday,9,Leaf,4,3,2,Boring (medium),4,
IMG_0605.jpeg,20/04/2025,14:53:23,Sunday,14,Leaf,2,5,1,Etsy by the sea (big),1,"La Marzocco, Dairy Milk"
IMG_0628.jpeg,22/04/2025,11:17:57,Tuesday,11,Abstract,,3,1,Etsy by the sea (big),1,"La Marzocco, Dairy Milk"
IMG_0761.jpeg,07/05/2025,11:21:11,Wednesday,11,Abstract,,2,3,Boring (medium),1,
IMG_0798.jpeg,11/05/2025,10:49:09,Sunday,10,Abstract,,2,3,Etsy by the sea (big),4,
IMG_0838.jpeg,15/05/2025,11:39:30,Thursday,11,Abstract,,1,3,Etsy by the sea (big),1,
IMG_0875.jpeg,19/05/2025,15:10:11,Monday,15,Tulip,3,2,3,Boring (medium),2,
IMG_0929.jpeg,23/05/2025,12:53:28,Friday,12,Leaf,1,2,4,Etsy by the sea (big),1,
IMG_1058.jpeg,02/06/2025,13:24:57,Monday,13,Leaf,3,3,1,Etsy by the sea (big),1,
IMG_1131.jpeg,10/06/2025,11:44:05,Tuesday,11,Leaf,2,3,4,Etsy by the sea (big),4,
IMG_1143.jpeg,11/06/2025,10:49:55,Wednesday,10,Tulip,4,3,3,Boring (medium),3,
IMG_1165.jpeg,12/06/2025,11:55:27,Thursday,11,Tulip,2,4,4,Etsy by the sea (big),5,
IMG_1202.jpeg,Unknown,Unknown,,,Leaf,2,2,2,Boring (medium),2,
IMG_1203.jpeg,17/06/2025,12:11:14,Tuesday,12,Leaf,2,2,,Boring (medium),1,
IMG_1281.jpeg,23/06/2025,12:36:56,Monday,12,Heart,3,1,4,Boring (medium),3,
IMG_1293.jpeg,24/06/2025,11:05:20,Tuesday,11,Heart,1,1,1,Etsy by the sea (big),1,
IMG_1302.jpeg,25/06/2025,12:12:11,Wednesday,12,Tulip,2,3,4,Etsy by the sea (big),4,
IMG_1322.jpeg,26/06/2025,12:01:27,Thursday,12,Tulip,3,3,2,Etsy by the sea (big),4,
IMG_1409.jpeg,02/07/2025,12:15:23,Wednesday,12,Heart,4,2,2,Etsy by the sea (big),3,
IMG_1451.jpeg,04/07/2025,11:41:45,Friday,11,Heart,5,4,4,Etsy by the sea (big),4,
IMG_1495.jpeg,07/07/2025,11:18:03,Monday,11,Heart,3,3,4,Etsy by the sea (big),2,
IMG_1528.jpeg,09/07/2025,11:45:46,Wednesday,11,Tulip,2,2,3,Etsy by the sea (big),1,
